city,index_within_city,venue_cat,correctCategoryPredictionProb,predictedCategory,isPredictedCategoryCorrect,inTopTen,correctLocationPredictionProb,predictedLocation,isPredictedLocationCorrect
0,2916,46.0,0.0022428903303018106,70.0,0,0,0.04007258612344151,3355.0,0
1,839,22.0,0.010913980988144435,70.0,0,0,0.048611607890625,2337.0,0
0,2574,136.0,0.0019472895615370947,70.0,0,0,0.03994666354739842,2392.0,0
1,34,109.0,0.0046542199361884464,70.0,0,0,0.047943962775662284,2337.0,0
1,2061,336.0,0.0021224251505348674,70.0,0,0,0.03929889141831261,851.0,0
0,3456,105.0,0.003722337768548222,70.0,0,0,0.03997696588987225,3355.0,0
1,1313,271.0,0.001873497358147773,70.0,0,0,0.052638497905461476,1313.0,1
0,4171,140.0,0.013328324080788366,70.0,0,0,0.040016385189705794,3355.0,0
1,1702,70.0,0.03002796078088328,70.0,1,1,0.04919245508963361,2337.0,0
1,1335,105.0,0.0036618108235828466,70.0,0,0,0.04589894115958609,2337.0,0
1,1052,141.0,0.007860300982914802,70.0,0,0,0.0446713764058986,1313.0,0
0,2673,173.0,0.005347966174220286,70.0,0,0,0.03999358193064134,3355.0,0
1,1514,148.0,0.007529933704300388,70.0,0,0,0.04308349136535801,2337.0,0
0,2351,43.0,0.002688492312007006,70.0,0,0,0.03999588939388997,3355.0,0
1,1989,170.0,0.001181113387932862,70.0,0,0,0.06626663865114688,1313.0,0
1,916,132.0,0.0013577873603372135,70.0,0,0,0.02973770400174413,1313.0,0
0,2191,157.0,0.0056435349751984025,70.0,0,0,0.0399955755006882,3355.0,0
1,1479,71.0,0.013120667031937205,70.0,0,0,0.04955331592024464,2337.0,0
1,2337,335.0,0.0059569705822584305,70.0,0,0,0.0499001195784937,2337.0,1
0,1260,263.0,0.007121378980324367,70.0,0,0,0.04000306286625659,3355.0,0
0,3313,120.0,0.023577227414926957,70.0,0,1,0.04086252977995955,3355.0,0
0,3703,343.0,3.232965567525251E-4,70.0,0,0,0.039410630950774496,2392.0,0
1,203,164.0,0.00116857637965784,70.0,0,0,0.05377501316925971,946.0,0
1,679,10.0,0.00431347537059807,70.0,0,0,0.04533698872257509,2337.0,0
0,1386,106.0,0.0032789845670242513,70.0,0,0,0.039969579288414596,3355.0,0
0,2954,109.0,0.004497923915022702,70.0,0,0,0.03902341540476875,3355.0,0
1,1776,106.0,0.004564128042630788,70.0,0,0,0.06079172145396419,1776.0,1
0,3355,120.0,0.023857303450071563,70.0,0,1,0.04154683599384595,3355.0,1
1,1224,315.0,0.005495750574726955,70.0,0,0,0.04756236056945327,2337.0,0
1,851,236.0,9.06939350504199E-4,288.0,0,0,0.027980965488876963,1313.0,0
0,3818,120.0,0.023229878078369806,70.0,0,1,0.040022903415658645,3355.0,0
1,2147,70.0,0.030027960780883524,70.0,1,1,0.04919245508963361,2337.0,0
0,2896,141.0,0.007860300982914802,70.0,0,0,0.039900748861748936,3355.0,0
0,1153,120.0,0.023288946034516825,70.0,0,1,0.04016498467257769,3355.0,0
1,88,148.0,0.008451438584935984,70.0,0,0,0.04835600094205284,2337.0,0
0,2027,190.0,0.0013518956459420447,70.0,0,0,0.03978967980337559,2392.0,0
0,2392,84.0,0.007586617676050452,70.0,0,0,0.038612814147972026,3355.0,0
0,3206,120.0,0.023229878078369806,70.0,0,1,0.040022903415658645,3355.0,0
1,1545,315.0,0.0055036855077232605,70.0,0,0,0.04767412457404517,2337.0,0
0,3699,44.0,0.02869790145525504,70.0,0,1,0.040024575706900815,3355.0,0
0,3854,132.0,0.0014079957161911214,70.0,0,0,0.04135679766803838,2392.0,0
0,1717,141.0,0.007922040571906215,70.0,0,0,0.040375445988641706,3355.0,0
1,1306,92.0,0.01940249306174473,70.0,0,1,0.04453195935692718,2337.0,0
0,2424,64.0,0.0053805525704684375,70.0,0,0,0.04039470113026989,3355.0,0
1,946,257.0,0.002816544045136126,70.0,0,0,0.04085418251379856,851.0,0
1,185,151.0,0.012898346121603229,70.0,0,0,0.04975882261350639,2337.0,0
0,3631,88.0,0.001653356161368171,70.0,0,0,0.03990870648771016,2392.0,0
0,1069,40.0,0.014224615823578224,70.0,0,1,0.04005582041549136,3355.0,0
