city,index_within_city,venue_cat,correctCategoryPredictionProb,predictedCategory,isPredictedCategoryCorrect,inTopTen,correctLocationPredictionProb,predictedLocation,isPredictedLocationCorrect
1,169,244.0,0.003863345985242571,44.0,0,0,0.04226879038107257,910.0,0
0,2933,67.0,0.005850576477408329,44.0,0,0,0.04180900299057498,733.0,0
1,1134,153.0,0.002911250983174792,44.0,0,0,0.042842652612100664,726.0,0
0,1840,92.0,0.019207835243913812,44.0,0,1,0.03668370853799514,512.0,0
0,1202,239.0,0.01699776930378354,44.0,0,1,0.04585887927898004,733.0,0
1,2155,134.0,0.0014446190894288385,44.0,0,0,0.040926060716052405,1063.0,0
0,3725,184.0,0.003616903731223914,70.0,0,0,0.16198003266632888,512.0,0
1,670,73.0,0.009360245821516223,70.0,0,0,0.10148112093357171,670.0,1
1,2356,59.0,0.004417294892611092,44.0,0,0,0.04079896100697605,726.0,0
0,1494,320.0,0.003293852177955984,201.0,0,0,0.01799136124458501,512.0,0
0,2846,289.0,4.8604909686187953E-4,44.0,0,0,0.036806510699746685,3270.0,0
0,2379,84.0,0.010489073324173778,188.0,0,0,0.04977549380181115,512.0,0
0,2170,173.0,0.004885809841260127,44.0,0,0,0.04158456378321011,512.0,0
0,1652,259.0,0.022586182573262826,44.0,0,1,0.04540730568659412,733.0,0
1,173,236.0,0.001404317380012992,44.0,0,0,0.036094882351979406,910.0,0
1,875,72.0,0.0032675228661001978,44.0,0,0,0.03884031880510305,1063.0,0
0,2753,304.0,0.005166935592296117,44.0,0,0,0.04683667858360306,733.0,0
0,733,230.0,0.015797864862688516,44.0,0,1,0.047434750920376356,733.0,1
1,1063,414.0,0.051491623470041104,414.0,1,1,0.8110381422080672,1063.0,1
0,2063,41.0,0.004072575914200726,44.0,0,0,0.04323670526427258,1494.0,0
1,1719,49.0,0.01617416594117252,44.0,0,1,0.04493194918455353,726.0,0
0,206,229.0,0.002403189081995799,44.0,0,0,0.04564201009409909,733.0,0
1,2369,335.0,0.005403387644667524,44.0,0,0,0.03714791668040709,1063.0,0
0,1332,162.0,0.003733940477955281,44.0,0,0,0.03917392436707216,512.0,0
0,914,21.0,0.0024031890819957995,44.0,0,0,0.04564201009409909,733.0,0
0,2997,84.0,0.007852314799660172,44.0,0,0,0.037262857695881633,512.0,0
1,1897,98.0,0.001454710069707027,44.0,0,0,0.04093730892063512,1063.0,0
0,1182,304.0,0.005174749943801221,44.0,0,0,0.04690751327144561,733.0,0
1,687,40.0,0.014609536364936622,44.0,0,1,0.04462205044824524,726.0,0
0,1023,239.0,0.017654502283989307,44.0,0,1,0.04763070227054631,733.0,0
0,822,24.0,0.0020835948936037156,44.0,0,0,0.04521844779026005,2846.0,0
1,910,259.0,0.022592776293287327,288.0,0,1,0.04298020378460283,726.0,0
1,766,111.0,0.010482086235327403,44.0,0,0,0.043805080821711126,726.0,0
1,459,259.0,0.022727033618791127,44.0,0,1,0.04323561317452562,726.0,0
1,2408,245.0,8.055724277175322E-4,44.0,0,0,0.037645450891008146,1063.0,0
1,2203,70.0,0.027885556037507395,44.0,0,1,0.0443265461874858,670.0,0
0,148,241.0,0.0025844229196471933,44.0,0,0,0.03972118347264328,512.0,0
1,825,40.0,0.013000004727410747,44.0,0,1,0.03970604215518952,726.0,0
1,236,2.0,0.0038629169772255046,44.0,0,0,0.044187627253173496,726.0,0
1,1974,123.0,0.001931885053874881,44.0,0,0,0.0401810438001018,825.0,0
0,3270,263.0,0.0016144608706460128,190.0,0,0,0.009626607831086419,733.0,0
0,1154,95.0,0.014130251368653141,44.0,0,0,0.045245804240217055,733.0,0
1,724,297.0,8.055724277175328E-4,44.0,0,0,0.03764545089100819,1063.0,0
1,726,159.0,0.008224335570041786,44.0,0,0,0.04421703676587747,726.0,1
1,1297,188.0,0.05941677465697728,188.0,1,1,0.3714740415092183,1297.0,1
1,928,112.0,0.0043414841431941254,44.0,0,0,0.04067050202197447,1063.0,0
0,1680,259.0,0.007924249387471464,70.0,0,0,0.015930926490413878,733.0,0
0,4102,132.0,0.001467405411786611,44.0,0,0,0.043422614475879966,2846.0,0
1,2010,256.0,3.262874314340539E-4,44.0,0,0,0.02973160974683012,1063.0,0
0,512,22.0,0.005552447197402722,70.0,0,0,0.021497926457602352,733.0,0
