topicId	tableId	cityId	cityName	venueName	venueCategory	lat	lon	colors
3	4117	4	"San Francisco"	"Goldsworthy Spire"	Outdoors & Recreation::Sculpture Garden	37.7917992493414	-122.459444403648	7
3	4117	4	"San Francisco"	"3838 California"	Professional & Other Places::Building	37.785951	-122.457486	7
3	4117	4	"San Francisco"	"Synapse Health Center"	Professional & Other Places::Medical Center::Doctor's Office	37.7867963185767	-122.453140196154	7
3	4117	4	"San Francisco"	"Presidio: Arguello Gate"	Outdoors & Recreation::Other Great Outdoors	37.7896160330289	-122.459524869919	7
3	4117	4	"San Francisco"	"T & R 76 Automotive Center"	Shop & Service::Gas Station / Garage	37.7859107765514	-122.459106445312	7
3	4117	4	"San Francisco"	"Dr.Koltzova-Rang"	Professional & Other Places::Medical Center::Doctor's Office	37.7861549022489	-122.456883132428	7
3	4117	4	"San Francisco"	"Presidio Private Golf Club"	Outdoors & Recreation::Athletic & Sport::Golf Course	37.7903536706101	-122.460780143738	7
3	4117	4	"San Francisco"	"Claire Lilienthal Elementary School"	Professional & Other Places::School	37.7873483642009	-122.458337146898	7
3	4117	4	"San Francisco"	"Temple Emanu-El"	Professional & Other Places::Spiritual Center::Synagogue	37.787094	-122.45947256	7
3	4117	4	"San Francisco"	"Walgreens"	Shop & Service::Drugstore / Pharmacy	37.7860836431951	-122.457004761789	7
3	4117	4	"San Francisco"	"Pasta Pomodoro"	Food::Italian Restaurant	37.7863241	-122.45369	7
3	4117	4	"San Francisco"	"synergy fitness"	Shop & Service::Gym / Fitness Center	37.7875882387161	-122.451521158218	7
3	4117	4	"San Francisco"	"76 Conoco Phillips"	Shop & Service::Gas Station / Garage	37.785848	-122.459055	7
3	4117	4	"San Francisco"	"Congregation Emanu-El"	Professional & Other Places::Spiritual Center::Temple	37.7869484954361	-122.459271464924	7
3	4117	4	"San Francisco"	"California Pacific Medical Center"	Professional & Other Places::Medical Center::Hospital	37.7863836753033	-122.456429785381	7
3	4117	4	"San Francisco"	"Golden Gate Obstetrics"	Professional & Other Places::Medical Center::Doctor's Office	37.786034	-122.457279	7
3	4117	4	"San Francisco"	"Picnix"	Food::American Restaurant	37.7867883977908	-122.457098748017	7
3	4117	4	"San Francisco"	"California Pacific Medical Center - Women & Children's Center"	Professional & Other Places::Medical Center::Doctor's Office	37.7864574629483	-122.454826469094	7
3	4117	4	"San Francisco"	"Presidio Way Veterinary Hospital"	Professional & Other Places::Medical Center	37.786378	-122.453752756119	7
3	4117	4	"San Francisco"	"Presidio Cafe"	Food::American Restaurant	37.7905393	-122.45989715	7
3	4117	4	"San Francisco"	"CPMC Labor and Delivery"	Professional & Other Places::Medical Center::Hospital	37.78633	-122.456311	7
3	4117	4	"San Francisco"	"St. John's Presbyterian Church"	Professional & Other Places::Spiritual Center::Church	37.78671798	-122.459593	7
3	4117	4	"San Francisco"	"California Pacific Orthopedics and Sports Medicine"	Professional & Other Places::Medical Center::Doctor's Office	37.7861484152906	-122.457496806399	7
3	4117	4	"San Francisco"	"CPMC Pediatric Emergency Room"	Professional & Other Places::Medical Center::Emergency Room	37.786309	-122.456363	7
3	4117	4	"San Francisco"	"California Pacific Medical Center - San Francisco"	Professional & Other Places::Medical Center::Hospital	37.786167	-122.457043	7
3	4117	4	"San Francisco"	"Bath Sense & More"	Shop & Service::Cosmetics Shop	37.78732516	-122.452073	7
3	4117	4	"San Francisco"	"Sociale"	Food::Italian Restaurant	37.786974	-122.453012	7
3	4117	4	"San Francisco"	"Patrick Richards Salon"	Shop & Service::Cosmetics Shop	37.787447	-122.452529466667	7
3	4117	4	"San Francisco"	"Julius Kahn Playground & Clubhouse"	Outdoors & Recreation::Playground	37.791079	-122.45389715	7
3	8808	4	"San Francisco"	"IDF 2011: Intel Developer Forum"	Professional & Other Places::Event Space	37.78366793	-122.403623	8
3	3600	0	"Pittsburgh"	"Dr. Catherine Udekwu"	Professional & Other Places::Medical Center::Doctor's Office	40.4361462593079	-79.9812090396881	0
3	3600	0	"Pittsburgh"	"Mercy Professional Office Building"	Professional & Other Places::Building	40.4368324279785	-79.9860687255859	0
3	3600	0	"Pittsburgh"	"Delta Chi Mancave"	College & University::Fraternity House	40.4352681848473	-79.98814659351	0
3	3600	0	"Pittsburgh"	"UPMC Mercy Emergency Room"	Professional & Other Places::Medical Center::Emergency Room	40.435858456261	-79.984610080719	0
3	3600	0	"Pittsburgh"	"Allegheny County CYF- Central Office"	Professional & Other Places::Building	40.4376525878906	-79.9862594604492	0
3	3600	0	"Pittsburgh"	"Mercy Hospital Cafeteria"	Professional & Other Places::Medical Center::Hospital	40.4362525939941	-79.9861679077148	0
3	3600	0	"Pittsburgh"	"Mercy OR 3"	Professional & Other Places::Medical Center::Hospital	40.4363136291504	-79.9851379394531	0
3	3600	0	"Pittsburgh"	"The Basement"	Nightlife Spot::Bar	40.4337501525879	-79.9847183227539	0
3	3600	0	"Pittsburgh"	"Rivers Casino"	Arts & Entertainment::Casino	40.433952331543	-79.9877700805664	0
3	3600	0	"Pittsburgh"	"James Simon's Sculpture Studio - Gist Street"	Professional & Other Places::Event Space	40.4368899900625	-79.979681000235	0
3	3600	0	"Pittsburgh"	"Lightspeed Grip and Lighting LLC"	Professional & Other Places::Building	40.4364709084347	-79.9794709682465	0
3	3600	0	"Pittsburgh"	"UPMC Mercy - Clinical Decision Unit"	Professional & Other Places::Medical Center::Hospital	40.4365199043676	-79.9847495555878	0
3	3600	0	"Pittsburgh"	"Paramount Pictures Film Exchange Building"	Arts & Entertainment::Movie Theater	40.4362487792969	-79.9817276000977	0
3	469	3	"Berkeley"	"7-Eleven"	Shop & Service::Food & Drink Shop::Liquor Store	37.8630892279603	-122.258380651474	9
3	469	3	"Berkeley"	"Dr. Robert Eppley (Orthopedist)"	Professional & Other Places::Medical Center	37.855879	-122.256412	9
3	469	3	"Berkeley"	"Mount Everest Restaurant"	Food::Indian Restaurant	37.863310738205	-122.258839077693	9
3	469	3	"Berkeley"	"Willard park"	Outdoors & Recreation::Park	37.8609292958799	-122.257061004639	9
3	469	3	"Berkeley"	"East Bay Pediatrics"	Professional & Other Places::Medical Center::Doctor's Office	37.8558191782858	-122.255847982711	9
3	469	3	"Berkeley"	"Willard Swimming Pool"	Outdoors & Recreation::Pool	37.8610987046053	-122.258509397507	9
3	469	3	"Berkeley"	"Cali Nails Spa"	Shop & Service::Cosmetics Shop	37.859362	-122.2591	9
3	469	3	"Berkeley"	"Looking Glass Photo"	Shop & Service::Camera Store	37.858711	-122.259545	9
3	469	3	"Berkeley"	"Halcyon Commons"	Outdoors & Recreation::Park	37.8545569040986	-122.260373366077	9
3	469	3	"Berkeley"	"Mokka"	Food::Coffee Shop	37.854502125	-122.259852	9
3	469	3	"Berkeley"	"Whole Foods Market"	Shop & Service::Food & Drink Shop::Grocery Store	37.8556187433643	-122.260151809552	9
3	469	3	"Berkeley"	"Sutter East Bay Medical Foundation"	Professional & Other Places::Medical Center	37.8584843873978	-122.259593	9
3	469	3	"Berkeley"	"Da Red Door Brothel"	Travel & Transport::Hotel::Bed & Breakfast	37.8618906833333	-122.257196983333	9
3	469	3	"Berkeley"	"Webster Orthopedics"	Professional & Other Places::Medical Center::Doctor's Office	37.85426	-122.257699	9
3	469	3	"Berkeley"	"Berkeley Orthodontics/Orthopedic Medical Group"	Professional & Other Places::Medical Center::Doctor's Office	37.8614127666667	-122.25600985	9
3	469	3	"Berkeley"	"Alta Bates Summit Medical Center: Alta Bates Campus"	Professional & Other Places::Medical Center::Hospital	37.8554161805993	-122.257565103051	9
3	469	3	"Berkeley"	"Chevron Station"	Shop & Service::Gas Station / Garage	37.85639323247	-122.260043621063	9
3	469	3	"Berkeley"	"Rose Garden Inn"	Travel & Transport::Hotel::Bed & Breakfast	37.859921	-122.259646	9
3	469	3	"Berkeley"	"Andronico's"	Shop & Service::Food & Drink Shop::Grocery Store	37.86204	-122.258514761925	9
3	469	3	"Berkeley"	"Origen"	::Food	37.85894403	-122.259439	9
3	469	3	"Berkeley"	"Care Plus CVS Pharmacy"	Shop & Service::Drugstore / Pharmacy	37.8552138325347	-122.259442825577	9
3	469	3	"Berkeley"	"Tai San"	Food::Chinese Restaurant	37.8590211982607	-122.259232345051	9
3	469	3	"Berkeley"	"Laura"	Nightlife Spot::Wine Bar	37.8619155	-122.257203	9
3	469	3	"Berkeley"	"Laconda da Eva"	Food::New American Restaurant	37.859135	-122.259664	9
3	469	3	"Berkeley"	"Alta Bates Summit Medical Center: Alta Bates Campus"	Professional & Other Places::Medical Center::Hospital	37.8554161805993	-122.257565103051	9
3	469	3	"Berkeley"	"The Joint"	Professional & Other Places::Medical Center	37.8619181053093	-122.259110487715	9
3	469	3	"Berkeley"	"Ineffable Music"	Arts & Entertainment::Music Venue	37.864042	-122.258946383333	9
3	469	3	"Berkeley"	"Subway"	Food::Sandwich Place	37.8626327514648	-122.258922457695	9
3	469	3	"Berkeley"	"Medical Building"	Professional & Other Places::Medical Center::Doctor's Office	37.856073075585	-122.256346504368	9
3	14953	4	"San Francisco"	"SOAR Medical Group"	Professional & Other Places::Medical Center::Dentist's Office	37.787427	-122.422799	3
3	14953	4	"San Francisco"	"Vespa San Francisco"	Shop & Service::Car Dealership	37.788127	-122.423511	3
3	14953	4	"San Francisco"	"Wok Shop Cafe"	Food::Chinese Restaurant	37.787412	-122.422194	3
3	14953	4	"San Francisco"	"Hotel Majestic"	Travel & Transport::Hotel	37.7871983481479	-122.425304477723	3
3	14953	4	"San Francisco"	"California Pacific Medical Center Medical Office Building"	Professional & Other Places::Medical Center::Doctor's Office	37.787413	-122.422975	3
3	14953	4	"San Francisco"	"Banksy Mural: 'Glitter Glasses' Rat"	Arts & Entertainment::Museum::Art Museum	37.788048	-122.421742	3
3	14953	4	"San Francisco"	"Sophie's Crepes - Japan Center SF CA 941115"	Food::Dessert Shop	37.7850629938605	-122.426073183384	3
3	14953	4	"San Francisco"	"Silk Hand & Foot Spa"	Shop & Service::Cosmetics Shop	37.7878057850592	-122.42347947051	3
3	14953	4	"San Francisco"	"Carillon Towers"	Professional & Other Places::Building	37.7839437935083	-122.424021445662	3
