topicId	tableId	cityId	cityName	venueName	venueCategory	lat	lon	colors
0	14719	4	"San Francisco"	"St. Thomas More Catholic Church"	Professional & Other Places::Spiritual Center::Church	37.7121497313915	-122.472997790619	9
0	14719	4	"San Francisco"	"SFSU Bookstore"	Shop & Service::Bookstore	37.7225917335024	-122.478396892548	9
0	14719	4	"San Francisco"	"Ocean View Branch Library"	Professional & Other Places::Library	37.7142467825406	-122.466651731129	9
0	14719	4	"San Francisco"	"Café Reina"	Food::Café	37.717686	-122.474244	9
0	14719	4	"San Francisco"	"Walgreens"	Shop & Service::Drugstore / Pharmacy	37.7107251158507	-122.467320628387	9
0	14719	4	"San Francisco"	"19th Ave & Holloway Muni Station"	Travel & Transport::Bus Station::Bus Line	37.7212905883789	-122.475303649902	9
0	14719	4	"San Francisco"	"Park 77"	Nightlife Spot::Bar	37.7175655400163	-122.473753988743	9
0	14719	4	"San Francisco"	"Frozen Cup"	Food::Ice Cream Shop	37.717568	-122.474514	9
0	14719	4	"San Francisco"	"Gym Building-SFSU"	College & University::College Gym	37.7235634107598	-122.47852563858	9
0	14719	4	"San Francisco"	"Park Merced"	Professional & Other Places::Building	37.7139997811633	-122.472047011824	9
0	14719	4	"San Francisco"	"Ethnic Studies and Psychology Building"	College & University::College Academic Building::College Science Building	37.7235634107598	-122.479244470596	9
0	14719	4	"San Francisco"	"Diala pizza"	Arts & Entertainment::Arcade	37.714514297465	-122.470222818984	9
0	14719	4	"San Francisco"	"SFSU Dance Studio - Gym 146"	College & University::College Gym	37.7228250666667	-122.47774155	9
0	14719	4	"San Francisco"	"Hall Of Flame Burger"	Food::Burger Joint	37.7175611257553	-122.473937985958	9
0	14719	4	"San Francisco"	"Top Of Campus - SFSU"	::College & University	37.721388526611	-122.475407865544	9
0	14719	4	"San Francisco"	"Papa John's Pizza"	Food::Pizza Place	37.7175379576	-122.47386932373	9
0	14719	4	"San Francisco"	"Ike's Place"	Food::Sandwich Place	37.7221683355176	-122.47849223811	9
0	14719	4	"San Francisco"	"Oceanview Village"	Shop & Service::Miscellaneous Shop	37.710396670951	-122.468254866155	9
